countryLabel,movementLabel
Albania,['Realism']
Argentina,['Realism']
Australia,['Impressionism' 'Neo-Impressionism']
Austria,"['Art Nouveau' 'Orientalism' 'naturalism' 'Cubism' 'Expressionism'
 'Biedermeier' 'Munich School' 'Vienna Secession' 'Orientalist painting'
 'Realism']"
Belgium,"['Orientalism' 'Expressionism' 'Neo-Impressionism' 'Academic Art'
 'Symbolism' 'Brabant fauvism' 'Realism' 'Molse School'
 'Flemish neo-renaissance' 'neo-Pompeian']"
Brazil,['Orientalism' 'Impressionism' 'Realism']
Canada,['Post-Impressionism' 'Symbolism']
Chile,['Realism']
Denmark,"['Cubism' 'Impressionism' 'Neo-Impressionism' 'Post-Impressionism'
 'Symbolism' 'Realism']"
Estonia,['Expressionism' 'Realism']
Finland,['Romanticism' 'Realism' 'romantic nationalism' 'Symbolism']
France,"['potato' 'neoclassicism' 'Romanticism' 'Orientalism' 'Realism'
 'Impressionism' 'Cubism' 'Expressionism' 'Neo-Impressionism'
 'Post-Impressionism' 'École de Nancy' 'Academic Art' 'Symbolism'
 'synthetism' 'Russian avant-garde' 'vorticism']"
Germany,"['Art Nouveau' 'Romanticism' 'Expressionism' 'Impressionism' 'Symbolism'
 'Academic Art' 'Post-Impressionism' 'Futurism' 'Realism'
 'Düsseldorf school of painting']"
Greece,['Realism']
Hungary,['Expressionism' 'Impressionism' 'Symbolism']
India,['Modernism']
Ireland,['Orientalism']
Italy,"['Art Nouveau' 'Modernism' 'Orientalism' 'Futurism' 'mannerism'
 'Impressionism' 'Macchiaioli' 'Scapigliatura' 'Realism']"
Japan,['Yōga' 'Realism']
Latvia,['Expressionism']
Luxembourg,['Expressionism']
Mexico,['Realism' 'Modernism']
Netherlands,"['Baroque' 'Expressionism' 'Post-Impressionism' 'Symbolism'
 'Impressionism' 'Realism' 'Baroque painting' 'Dutch Golden Age painting']"
New Zealand,['Modernism' 'Realism']
Norway,"['Expressionism' 'Impressionism' 'Symbolism' 'Neo-Impressionism' 'Realism'
 'neo-romanticism']"
Philippines,['Academic Art']
Poland,"['Art Nouveau' 'Romanticism' 'Orientalism' 'Impressionism' 'Expressionism'
 'Symbolism' 'Post-Impressionism' 'Academic Art' 'Realism']"
Portugal,['Romanticism' 'Cubism' 'Realism' 'Expressionism']
Romania,['neoclassicism' 'Art Nouveau']
Russia,"['Art Nouveau' 'Impressionism' 'Orientalism' 'Romanticism' 'Expressionism'
 'suprematism' 'Symbolism' 'Realism' 'Academic Art' 'Futurism'
 'Post-Impressionism' 'Arts and Crafts movement' 'Russian avant-garde'
 'Jack of Diamonds' 'Modernism']"
South Africa,['Expressionism']
Spain,"['Romanticism' 'Baroque' 'Cubism' 'Orientalism' 'naturalism'
 'Impressionism' 'Art Deco' 'Symbolism' 'Modernism' 'Realism'
 'Romantic painting']"
Sweden,"['Impressionism' 'Academic Art' 'Expressionism' 'Symbolism'
 'Arts and Crafts movement' 'Düsseldorf school of painting']"
Switzerland,"['Art Nouveau' 'Romanticism' 'surrealism' 'Orientalism' 'Impressionism'
 'Symbolism']"
Turkey,['Realism']
USA,"['Modernism' 'Art Nouveau' 'Impressionism' 'Orientalism' 'Realism'
 'Academic Art' 'aestheticism' 'Futurism' 'Expressionism' 'Symbolism'
 'Post-Impressionism' 'Luminism' 'abstract expressionism' 'genre painting'
 'Precisionism' 'Ashcan School' 'Harlem Renaissance' 'Synchromism'
 'Volcano School' 'Regionalism' 'Hudson River school' 'Hoosier Group'
 'Etaples art colony']"
United Kingdom,"['neoclassicism' 'surrealism' 'Romanticism' 'Orientalism' 'Impressionism'
 'Rococo' 'Academic Art' 'Symbolism' 'Post-Impressionism'
 'Arts and Crafts movement' 'Newlyn School' 'Art Nouveau'
 'Bloomsbury Group' 'Realism']"
Yugoslavia,['Realism']
