painting,title,img,inceptionYear,name,genderLabel,countryLabel,movementLabel
http://www.wikidata.org/entity/Q17495363,The artist's grandfather,http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20Bastien-Lepage%20-%20son%20grand-p%C3%A8re%201874.jpg,1874-01-01T00:00:00Z,Jules Bastien-Lepage,male,France,potato
http://www.wikidata.org/entity/Q18599968,Portrait of Sarah Bernhardt,http://commons.wikimedia.org/wiki/Special:FilePath/Sarah%20Bernhardt%20%281844-1923%29%20%28Jules%20Bastien-Lepage%29%20-%20Nationalmuseum%20-%2021150.tif,1878-01-01T00:00:00Z,Jules Bastien-Lepage,male,France,potato
http://www.wikidata.org/entity/Q20188799,Simon Hayem (1875),http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20Bastien-Lepage%20-%20Simon%20Hayem%2001.jpg,1875-01-01T00:00:00Z,Jules Bastien-Lepage,male,France,potato
http://www.wikidata.org/entity/Q28050358,Sir Henry Irving,http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20Bastien-Lepage%20%281848-1884%29%20-%20Sir%20Henry%20Irving%20-%20NPG%201560%20-%20National%20Portrait%20Gallery.jpg,1880-01-01T00:00:00Z,Jules Bastien-Lepage,male,France,potato
http://www.wikidata.org/entity/Q43220600,Portrait of Madame Waskiewicz,http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20Bastien-Lepage%20-%20Portrait%20of%20Madame%20Waskiewicz%20-%20NM%207349%20-%20Nationalmuseum.jpg,1881-01-01T00:00:00Z,Jules Bastien-Lepage,male,France,potato
http://www.wikidata.org/entity/Q77975024,"Portrait of Carlo Pellegrini, Caricaturist",http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Carlo%20Pellegrini%2C%20Caricaturist%20.PNG,1879-01-01T00:00:00Z,Jules Bastien-Lepage,male,France,potato
http://www.wikidata.org/entity/Q91018227,André Theuriet,http://commons.wikimedia.org/wiki/Special:FilePath/Andr%C3%A9%20Theuriet%20by%20Bastien-Lepage%201878.jpg,1878-01-01T00:00:00Z,Jules Bastien-Lepage,male,France,potato
http://www.wikidata.org/entity/Q97606139,Victor Hugo,http://commons.wikimedia.org/wiki/Special:FilePath/Bastien-Lepage%2C%20Jules%20-%20Portrait%20de%20Victor%20Hugo%20-%20772%20-%20Maison%20de%20Victor%20Hugo.jpg,1884-01-01T00:00:00Z,Jules Bastien-Lepage,male,France,potato
http://www.wikidata.org/entity/Q111214126,Portrait of Alfred Garnier,http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Garnier%20by%20Jules%20Bastien-Lepage.jpg,1870-06-01T00:00:00Z,Jules Bastien-Lepage,male,France,potato
http://www.wikidata.org/entity/Q17490658,"Adolphe Franck (1810-1893), French philosopher",http://commons.wikimedia.org/wiki/Special:FilePath/Adolphe%20Franck%2C%20French%20philosopher%20%281878%29%20-%20Jules%20Bastien-Lepage.jpg,1878-01-01T00:00:00Z,Jules Bastien-Lepage,male,France,potato
http://www.wikidata.org/entity/Q17491297,Émile Bastien-Lepage,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89mile%20Bastien-Lepage%20par%20Jules%20Bastien-Lepage.jpg,1879-01-01T00:00:00Z,Jules Bastien-Lepage,male,France,potato
http://www.wikidata.org/entity/Q19912147,Lucia,http://commons.wikimedia.org/wiki/Special:FilePath/Lucia%20Leighton.jpg,1877-01-01T00:00:00Z,Frederic Leighton,male,United Kingdom of Great Britain and Ireland,neoclassicism
http://www.wikidata.org/entity/Q21749838,"May Sartoris, Mrs Henry Evans Gordon",http://commons.wikimedia.org/wiki/Special:FilePath/May%20Sartoris%2C%20Mrs%20Henry%20Evans%20Gordon%20by%20Frederic%20Leighton.jpg,1870-01-01T00:00:00Z,Frederic Leighton,male,United Kingdom of Great Britain and Ireland,neoclassicism
http://www.wikidata.org/entity/Q19917690,Portrait of a German Officer,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20a%20German%20Officer%2C%20Marsden%20Hartley.jpg,1914-01-01T00:00:00Z,Marsden Hartley,male,United States of America,Dada
http://www.wikidata.org/entity/Q19920922,Albert Pinkham Ryder,http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Pinkham%20Ryder%20MET%20DT6843.jpg,1938-01-01T00:00:00Z,Marsden Hartley,male,United States of America,Dada
http://www.wikidata.org/entity/Q29855505,"Madame Pasteur, née Madeleine Alexandre ( 1773-1841)",http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20de%20Madame%20Pasteur%2C%20n%C3%A9e%20Madeleine%20Alexandre%20%281773-1841%29%20d%E2%80%99Antoine-Jean%2C%20baron%20GROS.jpg,1900-01-01T00:00:00Z,Antoine-Jean Gros,male,France,neoclassicism
http://www.wikidata.org/entity/Q28050278,Sir Richard Francis Burton,http://commons.wikimedia.org/wiki/Special:FilePath/RichardFrancisBurton.jpeg,1872-01-01T00:00:00Z,Frederic Leighton,male,United Kingdom of Great Britain and Ireland,neoclassicism
http://www.wikidata.org/entity/Q52146419,"Lady Adelaide Chetwynd-Talbot, Countess Brownlow (1844-1917)",http://commons.wikimedia.org/wiki/Special:FilePath/Frederic%20Leighton%20%281830-1896%29%20-%20Lady%20Adelaide%20Chetwynd-Talbot%20%281844%E2%80%931917%29%2C%20Countess%20Brownlow%20-%20436073%20-%20National%20Trust.jpg,1879-01-01T00:00:00Z,Frederic Leighton,male,United Kingdom of Great Britain and Ireland,neoclassicism
http://www.wikidata.org/entity/Q106767919,After Vespers,http://commons.wikimedia.org/wiki/Special:FilePath/Frederic%2C%20Lord%20Leighton%20-%20After%20Vespers%20-%20y1961-17%20-%20Princeton%20University%20Art%20Museum.jpg,1871-01-01T00:00:00Z,Frederic Leighton,male,United Kingdom of Great Britain and Ireland,neoclassicism
http://www.wikidata.org/entity/Q106867039,Portrait of a Young Woman in Profile,http://commons.wikimedia.org/wiki/Special:FilePath/Frederic%20Leighton%20-%20Portrait%20of%20a%20Young%20Woman%20in%20Profile%20-%201943.198%20-%20Fogg%20Museum.jpg,1881-01-01T00:00:00Z,Frederic Leighton,male,United Kingdom of Great Britain and Ireland,neoclassicism
http://www.wikidata.org/entity/Q109924119,Portrait of Mrs. Fălcoianu,http://commons.wikimedia.org/wiki/Special:FilePath/Theodor%20Aman%20-%20Portretul%20doamnei%20F%C4%83lcoianu.jpg,1870-01-01T00:00:00Z,Theodor Aman,male,Romania,neoclassicism
http://www.wikidata.org/entity/Q109928682,Professor George Capșa at the age of 8,http://commons.wikimedia.org/wiki/Special:FilePath/Theodor%20Aman%20-%20Profesorul%20George%20Cap%C8%99a%20la%20v%C3%A2rsta%20de%208%20ani.jpg,1869-01-01T00:00:00Z,Theodor Aman,male,Romania,neoclassicism
http://www.wikidata.org/entity/Q109829044,Portrait of Tudor Vladimirescu.,http://commons.wikimedia.org/wiki/Special:FilePath/Theodor%20Aman%20-%20Tudor%20Vladimirescu%20%281%29.jpg,1874-01-01T00:00:00Z,Theodor Aman,male,Romania,neoclassicism
http://www.wikidata.org/entity/Q30301634,Jew with Goose - a Romanian Jew holding a petition and a goose for bribery,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolae%20Grigorescu%20026.jpg,1880-01-01T00:00:00Z,Nicolae Grigorescu,male,Romania,neoclassicism
http://www.wikidata.org/entity/Q30327394,Cheerful peasant,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolae%20Grigorescu%20-%20Taranca%20voioasa.jpg,1894-01-01T00:00:00Z,Nicolae Grigorescu,male,Romania,neoclassicism
http://www.wikidata.org/entity/Q30333587,Ghergani Gypsy,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolae%20Grigorescu%20-%20Tiganca%20din%20Ghergani.jpg,1872-01-01T00:00:00Z,Nicolae Grigorescu,male,Romania,neoclassicism
http://www.wikidata.org/entity/Q38045762,A flower among the flowers,http://commons.wikimedia.org/wiki/Special:FilePath/A%20flower%20among%20the%20flowers.jpg,1870-01-01T00:00:00Z,Nicolae Grigorescu,male,Romania,neoclassicism
http://www.wikidata.org/entity/Q42165672,Portrait of Zettine Urechia,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolae%20Grigorescu%20-%20Portretul%20Zettinei%20Urechia.jpg,1869-01-01T00:00:00Z,Nicolae Grigorescu,male,Romania,neoclassicism
http://www.wikidata.org/entity/Q17428114,Dame mit Hut und Federbos,http://commons.wikimedia.org/wiki/Special:FilePath/Klimt%20Dame%20mit%20Hut%20und%20Federbos.jpg,1909-01-01T00:00:00Z,Gustav Klimt,male,Austrian Empire,Art Nouveau
http://www.wikidata.org/entity/Q19912225,Mäda Primavesi (1903–2000),http://commons.wikimedia.org/wiki/Special:FilePath/M%C3%A4da%20Primavesi%20%281903%E2%80%932000%29%20MET%20DP243354.jpg,1912-01-01T00:00:00Z,Gustav Klimt,male,Austrian Empire,Art Nouveau
http://www.wikidata.org/entity/Q354396,Portrait of Adele Bloch-Bauer I,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Klimt%2C%201907%2C%20Adele%20Bloch-Bauer%20I%2C%20Neue%20Galerie%20New%20York.jpg,1907-01-01T00:00:00Z,Gustav Klimt,male,Austrian Empire,Art Nouveau
http://www.wikidata.org/entity/Q698487,The Kiss,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Kiss%20-%20Gustav%20Klimt%20-%20Google%20Cultural%20Institute.jpg,1907-01-01T00:00:00Z,Gustav Klimt,male,Austrian Empire,Art Nouveau
http://www.wikidata.org/entity/Q354396,Portrait of Adele Bloch-Bauer I,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Klimt%2C%201907%2C%20Adele%20Bloch-Bauer%20I%2C%20Neue%20Galerie%20New%20York.jpg,1907-01-01T00:00:00Z,Gustav Klimt,male,Cisleithania,Art Nouveau
http://www.wikidata.org/entity/Q698487,The Kiss,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Kiss%20-%20Gustav%20Klimt%20-%20Google%20Cultural%20Institute.jpg,1907-01-01T00:00:00Z,Gustav Klimt,male,Cisleithania,Art Nouveau
http://www.wikidata.org/entity/Q17428114,Dame mit Hut und Federbos,http://commons.wikimedia.org/wiki/Special:FilePath/Klimt%20Dame%20mit%20Hut%20und%20Federbos.jpg,1909-01-01T00:00:00Z,Gustav Klimt,male,Cisleithania,Art Nouveau
http://www.wikidata.org/entity/Q19912225,Mäda Primavesi (1903–2000),http://commons.wikimedia.org/wiki/Special:FilePath/M%C3%A4da%20Primavesi%20%281903%E2%80%932000%29%20MET%20DP243354.jpg,1912-01-01T00:00:00Z,Gustav Klimt,male,Cisleithania,Art Nouveau
http://www.wikidata.org/entity/Q4681871,Adele Bloch-Bauer II,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Klimt%20047.jpg,1912-01-01T00:00:00Z,Gustav Klimt,male,Cisleithania,Art Nouveau
http://www.wikidata.org/entity/Q11776859,Medicine,http://commons.wikimedia.org/wiki/Special:FilePath/Fakult%C3%A4tsbild%20Medizin.jpg,1907-01-01T00:00:00Z,Gustav Klimt,male,Cisleithania,Art Nouveau
http://www.wikidata.org/entity/Q19924468,Study in Black and Green,http://commons.wikimedia.org/wiki/Special:FilePath/Study%20in%20Black%20and%20Green%20MET%20DP-12213-001.jpg,1906-01-01T00:00:00Z,John White Alexander,male,United States of America,Art Nouveau
http://www.wikidata.org/entity/Q20171632,Study in Black and Green (Oil Sketch),http://commons.wikimedia.org/wiki/Special:FilePath/Study%20in%20Black%20and%20Green%20%28Oil%20Sketch%29%20MET%20DP105798.jpg,1906-01-01T00:00:00Z,John White Alexander,male,United States of America,Art Nouveau
http://www.wikidata.org/entity/Q20175225,Repose,http://commons.wikimedia.org/wiki/Special:FilePath/Repose%20MET%20DT1551.jpg,1895-01-01T00:00:00Z,John White Alexander,male,United States of America,Art Nouveau
http://www.wikidata.org/entity/Q20175274,Walt Whitman,http://commons.wikimedia.org/wiki/Special:FilePath/Walt%20Whitman%20MET%20ap91.18.jpg,1889-01-01T00:00:00Z,John White Alexander,male,United States of America,Art Nouveau
http://www.wikidata.org/entity/Q18621172,Miss Dorothy Quincy Roosevelt (later Mrs. Langdon Geer),http://commons.wikimedia.org/wiki/Special:FilePath/John%20White%20Alexander%20-%20Miss%20Dorothy%20Quincy%20Roosevelt%20%28later%20Mrs.%20Langdon%20Geer%29%20-%202007.36%20-%20Dallas%20Museum%20of%20Art.jpg,1901-01-01T00:00:00Z,John White Alexander,male,United States of America,Art Nouveau
http://www.wikidata.org/entity/Q18686972,Portrait of  Mark Twain,http://commons.wikimedia.org/wiki/Special:FilePath/John%20White%20Alexander%20-%20Samuel%20L.%20Clemens%20%28Mark%20Twain%29%20%281912%20or%201913%29%20-%20Google%20Art%20Project.jpg,1912-01-01T00:00:00Z,John White Alexander,male,United States of America,Art Nouveau
http://www.wikidata.org/entity/Q4681871,Adele Bloch-Bauer II,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Klimt%20047.jpg,1912-01-01T00:00:00Z,Gustav Klimt,male,Austrian Empire,Art Nouveau
http://www.wikidata.org/entity/Q11776859,Medicine,http://commons.wikimedia.org/wiki/Special:FilePath/Fakult%C3%A4tsbild%20Medizin.jpg,1907-01-01T00:00:00Z,Gustav Klimt,male,Austrian Empire,Art Nouveau
http://www.wikidata.org/entity/Q18668517,The Halberdier,http://commons.wikimedia.org/wiki/Special:FilePath/Ferdinand%20Hodler%20-%20The%20Halberdier%20-%201998.198.FA%20-%20Dallas%20Museum%20of%20Art.jpg,1895-01-01T00:00:00Z,Ferdinand Hodler,male,Switzerland,Art Nouveau
http://www.wikidata.org/entity/Q112055072,The Queen of Italy Elena (Amisani),http://commons.wikimedia.org/wiki/Special:FilePath/Regina%20Elena%2C%20ritratto%20di%20donna%2C%20Giuseppe%20Amisani.jpg,1925-01-01T00:00:00Z,Giuseppe Amisani,male,Kingdom of Italy,Art Nouveau
